0001	一
0002	乙
0003	二
0004	十
0005	丁
0006	厂
0007	七
0008	卜
0009	八
0010	人
0011	入
0012	儿
0013	匕
0014	几
0015	九
0016	刁
0017	了
0018	刀
0019	力
0020	乃
0021	又
0022	三
0023	干
0024	于
0025	亏
0026	工
0027	土
0028	士
0029	才
0030	下
0031	寸
0032	大
0033	丈
0034	与
0035	万
0036	上
0037	小
0038	口
0039	山
0040	巾
0041	千
0042	乞
0043	川
0044	亿
0045	个
0046	夕
0047	久
0048	么
0049	勺
0050	凡
0051	丸
0052	及
0053	广
0054	亡
0055	门
0056	丫
0057	义
0058	之
0059	尸
0060	己
0061	已
0062	巳
0063	弓
0064	子
0065	卫
0066	也
0067	女
0068	刃
0069	飞
0070	习
0071	叉
0072	马
0073	乡
0074	丰
0075	王
0076	开
0077	井
0078	天
0079	夫
0080	元
0081	无
0082	云
0083	专
0084	丐
0085	扎
0086	艺
0087	木
0088	五
0089	支
0090	厅
0091	不
0092	犬
0093	太
0094	区
0095	历
0096	歹
0097	友
0098	尤
0099	匹
0100	车
0101	巨
0102	牙
0103	屯
0104	戈
0105	比
0106	互
0107	切
0108	瓦
0109	止
0110	少
0111	曰
0112	日
0113	中
0114	贝
0115	冈
0116	内
0117	水
0118	见
0119	午
0120	牛
0121	手
0122	气
0123	毛
0124	壬
0125	升
0126	夭
0127	长
0128	仁
0129	什
0130	片
0131	仆
0132	化
0133	仇
0134	币
0135	仍
0136	仅
0137	斤
0138	爪
0139	反
0140	介
0141	父
0142	从
0143	仑
0144	今
0145	凶
0146	分
0147	乏
0148	公
0149	仓
0150	月
0151	氏
0152	勿
0153	欠
0154	风
0155	丹
0156	匀
0157	乌
0158	勾
0159	凤
0160	六
0161	文
0162	亢
0163	方
0164	火
0165	为
0166	斗
0167	忆
0168	计
0169	订
0170	户
0171	认
0172	冗
0173	讥
0174	心
0175	尺
0176	引
0177	丑
0178	巴
0179	孔
0180	队
0181	办
0182	以
0183	允
0184	予
0185	邓
0186	劝
0187	双
0188	书
0189	幻
0190	玉
0191	刊
0192	未
0193	末
0194	示
0195	击
0196	打
0197	巧
0198	正
0199	扑
0200	卉
0201	扒
0202	功
0203	扔
0204	去
0205	甘
0206	世
0207	艾
0208	古
0209	节
0210	本
0211	术
0212	可
0213	丙
0214	左
0215	厉
0216	石
0217	右
0218	布
0219	夯
0220	戊
0221	龙
0222	平
0223	灭
0224	轧
0225	东
0226	卡
0227	北
0228	占
0229	凸
0230	卢
0231	业
0232	旧
0233	帅
0234	归
0235	旦
0236	目
0237	且
0238	叶
0239	甲
0240	申
0241	叮
0242	电
0243	号
0244	田
0245	由
0246	只
0247	叭
0248	史
0249	央
0250	兄
0251	叽
0252	叼
0253	叫
0254	叩
0255	叨
0256	另
0257	叹
0258	冉
0259	皿
0260	凹
0261	囚
0262	四
0263	生
0264	矢
0265	失
